,emotion
2304,joy
2305,sadness
2306,sadness
2307,joy
2308,joy
2309,joy
2310,neutral
2311,joy
2312,neutral
2313,joy
2314,joy
2315,joy
2316,joy
2317,joy
2318,joy
2319,joy
2320,joy
2321,joy
2322,joy
2323,joy
2324,joy
2325,joy
2326,joy
2327,joy
2328,joy
2329,sadness
2330,joy
2331,joy
2332,joy
2333,joy
2334,joy
2335,joy
2336,joy
2337,joy
2338,joy
2339,joy
2340,anger
2341,joy
2342,joy
2343,joy
2344,joy
2345,joy
2346,neutral
2347,joy
2348,joy
2349,neutral
2350,joy
2351,joy
2352,anger
2353,neutral
2354,neutral
2355,joy
2356,neutral
2357,joy
2358,joy
2359,neutral
2360,joy
2361,joy
2362,joy
2363,joy
2364,joy
2365,joy
2366,neutral
2367,joy
2368,joy
2369,joy
2370,joy
2371,joy
2372,joy
2373,anger
2374,joy
2375,joy
2376,joy
2377,joy
2378,neutral
2379,joy
2380,joy
2381,joy
2382,joy
2383,joy
2384,joy
2385,neutral
2386,joy
2387,joy
2388,neutral
2389,disgust
2390,joy
2391,sadness
2392,joy
2393,joy
2394,joy
2395,joy
2396,neutral
2397,joy
2398,joy
2399,joy
2400,joy
2401,joy
2402,joy
2403,joy
2404,joy
2405,anger
2406,joy
2407,joy
2408,joy
2409,joy
2410,joy
2411,joy
2412,joy
2413,neutral
2414,joy
2415,joy
2416,joy
2417,neutral
2418,joy
2419,neutral
2420,joy
2421,joy
2422,anger
2423,sadness
2424,sadness
2425,joy
2426,joy
2427,joy
2428,joy
2429,neutral
2430,neutral
2431,joy
2432,joy
2433,joy
2434,joy
2435,joy
2436,neutral
2437,joy
2438,joy
2439,joy
2440,neutral
2441,joy
